what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055044503
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334055046024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055048176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055054316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055058655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055063068
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055063473
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055063534
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334055064954
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055065190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1334055075921
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334055076345
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1334055089733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055092752
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1334055098108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055098325
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1334055098336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334055102724
